episode_count,baker,signature,technical,showstopper,result,series
1,Annetha,Light Jamaican Black Cake with Strawberries and Cream,2nd,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",Safe,1
1,David,Chocolate Orange Cake,3rd,"Black Forest Floor Gateau with Chocolate Leaves, Fallen Fruit, and Chocolate Mushrooms",Safe,1
1,Edd,Caramel Cinnamon and Banana Cake,1st,UNKNOWN,Safe,1
1,Jasminder,Fresh Mango and Passion Fruit Hummingbird Cake,—,UNKNOWN,Safe,1
1,Jonathan,Carrot Cake with Lime and Cream Cheese Icing,9th,Three Tiered White and Dark Chocolate with Almond and Cherry,Safe,1
1,Lea,Cranberry and Pistachio Cakewith Orange Flower Water Icing,10th,Raspberries and Cream-filled Chocolate Cake with Chocolate-dipped Fresh Fruit,Eliminated,1
1,Louise,Carrot and Orange Cake,—,Never Fail Chocolate Sponge Cake with Fresh Fruit,Safe,1
1,Mark,Sticky Marmalade Tea Loaf,—,Heart-shaped Chocolate and Beetroot Cake,Eliminated,1
1,Miranda,Triple Layered Brownie Meringue Cake with Raspberry Cream,8th,Three Tiered Chocolate Fudge Cake with Handmade Chocolate Button Decorations,Safe,1
1,Ruth,Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,—,Classic Chocolate Sponge wrapped in a Chocolate Collar topped with Handmade White and Dark Chocolate Truffles,Safe,1
2,Annetha,Rose Petal Shortbread,7th,Pink Swirl MacaronsEclairs,Eliminated,1
2,David,Cheddar Cheese and Fresh Rosemary Biscuits,8th,Choux Pastry SwansPlain Meringues,Safe,1
2,Edd,Oatmeal Raisin Cookies,6th,Pink MacaronsPassion Fruit Meringues,Safe,1
2,Jasminder,Millionaires' Shortbread,2nd,Meringues with Chocolate and Space DustCoffee Flavoured Eclairs,Safe,1
2,Jonathan,Ginger and Honey Cookies,1st,Meringues with Whiskey Cream and Chocolate,Safe,1
2,Louise,Stained Glass Window Shortbread,4th,"Strawberry, Mint, and Cream Meringue BasketsChocolate EclairsOrange, Yellow and Pink Macarons",Eliminated,1
2,Miranda,Fresh Vanilla Biscuits with Royal Icing,3rd,Pistachio Macarons,Safe,1
2,Ruth,Peanut Shortbread with Salted Peanut Caramel,5th,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Safe,1
3,David,Chilli Bread,4th,Walnut and Seed RollRed Berry and Almond BunTomato and Herb Rolls,Safe,1
3,Edd,Olive Bread with Fennel and Cumin,1st,"Tomato, Mozzarella, and Chorizo RollsChelsea BunsHot Cross Buns",Safe,1
3,Jasminder,Focaccia with Sun-Dried Tomato and Rosemary,5th,Mango and Sultana BunsPain au Chocolat with Mars BarsTutti Frutti Wheels with Jelly TotsTomato and Cheese Rolls,Safe,1
3,Jonathan,"Anchovy, Sweet Paprika and Oregano Bread",6th,"Sticky Lemon Honey BunsOlive and Anchovy RollsSun-Dried Tomato and Fresh Herb RollsStilton, Walnut and Braeburn Apple RollsCinnamon, Cardamom, and Sultana Chelsea Buns with Icing",Eliminated,1
3,Miranda,Walnut and Apricot Bread,3rd,Lemon Iced BunsChocolate and Orange BunsCranberry Buns with Icing Sugar,Safe,1
3,Ruth,Maple and Pecan Bread,2nd,Chocolate and Orange PanettoneCranberry Bagels,Safe,1
4,David,Pear and Walnut Pudding,5th,Apple and Blackberry CrumbleRhubarb and Orange BettySuet Pear,Eliminated,1
4,Edd,Apple and Plum Pudding with Rum Caramel Sauce,3rd,Apple and Cinnamon CrumbleNutella Banana Brioche Bread PuddingRhubarb and Strawberry Suet Layer,Safe,1
4,Jasminder,Sticky Toffee Pudding,2nd,Bread & Butter PuddingTreacle Suet Pudding with Fresh FruitApple and Pineapple Crumble,Safe,1
4,Miranda,Sticky Toffee Pudding with Caramelised Walnuts,1st,Queen of PuddingsChocolate Pear Roly PolyStrawberry and Rhubarb Crumble,Safe,1
4,Ruth,Peach and Blueberry Boy Bait,4th,Apple & Ginger CrumbleRhubarb Suet PuddingCherry Queen of Puddings,Safe,1
5,Edd,"Chicken, Ham, Leek and Tarragon Pie",2nd,"Almond Sweet Tart with Ginger and Chocolate
Yorkshire Curd TartChickpea and SalamiRed and Yellow PepperAsparagus Gruyere Quiche",Safe,1
5,Jasminder,Chicken and Mushroom Pie,4th,"Jaggery, Carrot, and Spiced Condensed Milk TartFruit and Custard TartThai Chili and Red OnionDuck in Plum SauceSalmon and Prawn Canapés",Eliminated,1
5,Miranda,"Summery Salmon, Cod and Prawn Fish Pie",1st,Chocolate Pastry filled with Orange Cheesecake Chocolate Pastry filled with Milk Chocolate Ganache Strawberry Tart with Red Currant Glaze Cheesy CrabBroad Bean and Tomato Pastry HeartsPancetta and Leek Risotto Canapés,Safe,1
5,Ruth,Minced Beef Pie,3rd,Raspberry and Dark Chocolate TartCreme Patisserie and Cherry Tart Citrus Curd Tart with Creme Brulee TopRoasted Tomato CanapésAsparagus Pastry Twirls,Safe,1
6,Edd,Cinnamon and Banana Cakes,NA,Chocolate and Ginger TartsLemon Scones with Passion Fruit CurdRaspberry Choux BunsFinger Sandwiches,Winner,1
6,Miranda,Lemon Cupcakes,NA,—,Eliminated at signature,1
6,Ruth,"Mint, Ginger and Blackberry Cakes",NA,Red Pepper and Cheese Quiche TartsSultana SconesVanilla and Lemon Choux BunsFinger Sandwiches,Runner-up,1
7,Ben,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,2nd,Vanilla Sponge with White Chocolate and Raspberry Buttercream,Safe,2
7,Holly,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,1st,Novelty Farm Cake,Star Baker,2
7,Ian,Apple and Cinnamon Cupcakes,10th,UNKNOWN,Safe,2
7,Janet,Raspberry and Cream Cupcakes,8th,Chocolate Marble Cake with Dark and White Chocolate Truffles,Safe,2
7,Jason,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,6th,UNKNOWN,Safe,2
7,Jo,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,11th,Chocolate and Strawberry Cake,Safe,2
7,Keith,Earl Grey Cupcakes,12th,Chocolate and Sour Cream Cake,Eliminated,2
7,Mary-Anne,Banoffee Cupcakes,4th,Chocolate and Raspberry Opera Cake,Safe,2
7,Robert,Blackberry and Vanilla Cupcakes with Liquorice Frosting,3rd,Genoise Layered Mousse Cake with Chocolate Ganache,Safe,2
7,Simon,Guinness and Chocolate Cupcakes,9th,Two-Tiered Chocolate Courgette Cake,Safe,2
7,Urvashi,Cherry Blossom CupcakesJapanese Lime Cupcakes,7th,Orange Blossom Celebration Cake,Safe,2
7,Yasmin,Cardamom and Pomegranate CupcakesLemon Meringue Cupcakes,5th,Three Tier Passion Cake,Safe,2
8,Ben,"Chorizo, Pepper and Gruyere Quiche",1st,Lemon Meringue Tarts,Safe,2
8,Holly,Pesto Quiche,4th,Milk Chocolate and Pistachio TartsTrifle Tarts,Safe,2
8,Ian,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",2nd,UNKNOWN,Safe,2
8,Janet,Quiche Printanière,8th,Red Fruit TartsChocolate and Cherry Tarts,Safe,2
8,Jason,Salmon and Pak Choi Quiche,3rd,Mint Chocolate TartsBlueberry Bakewell Tarts,Star Baker,2
8,Jo,"Caramelised Onion, Gruyere and Thyme Quiche",10th,Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,Safe,2
8,Mary-Anne,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",9th,Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,Safe,2
8,Robert,Smoked Bacon and Kale Quiche,5th,"Chocolate, Fennel and Ginger TartAlmond, Creme Patisserie and Poached Pear Tart",Safe,2
8,Simon,Smoked Haddock and Watercress Quiche,11th,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",Eliminated,2
8,Urvashi,"Crab, Coriander and Coconut Quiche",7th,Strawberry and Basil TartsElderflower and Honeycomb Tarts,Safe,2
8,Yasmin,Smoked Haddock and Watercress Quiche,6th,Chocolate and Orange Tarts with Cinnamon-Orange PastryBlueberry and Hazelnut Tarts with Hazelnut Pastry,Safe,2
9,Ben,"Walnut, Raisin and Rosemary Loaf",3rd,UNKNOWN,Safe,2
9,Holly,Picnic Loaf,6th,Stilton and Walnut Rolls,Safe,2
9,Ian,"Courgette, Caerphilly Cheese and Thyme Loaf",10th,Walnut and Raisin RollsCracked Wheat Logs,Eliminated,2
9,Janet,Zupfe Loaf with Gruyère Cheese,8th,"Apple and Walnut Granary Rolls
Red Onion Cottage Rolls",Safe,2
9,Jason,Cheese and Onion Tear and Share Loaf,7th,UNKNOWN,Safe,2
9,Jo,"Stromboli Flavoured with Mozarella, Ham, and Picante Peppers",1st,Spiced Orange RollsPumpkin Seed Rolls,Safe,2
9,Mary-Anne,Ploughman's Loaf,5th,Herb and Walnut BreadsChocolate and Chilli Buns,Safe,2
9,Robert,Rye and Coriander Seed Loaf,4th,Blueberry Brioche RollsLemon and Poppy Seed Rolls,Safe,2
9,Urvashi,Salt and Peppercorn Loaf,9th,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,Eliminated,2
9,Yasmin,Egyptian Dukkah Loaf with Mixed Spices,2nd,Pesto BreadSweet Coconut Rolls,Star Baker,2
10,Ben,Stem Ginger Nuts,5th,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,Eliminated,2
10,Holly,Strawberry and Custard Melts,3rd,"'Chocolate bars of my youth'(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",Star Baker,2
10,Janet,Christmas Marzipan Biscuits,4th,Raspberry MacaronsBlackcurrant MacaronsAlmond Macarons,Safe,2
10,Jason,Lebkuchen,1st,"Mocktail Macarons(Mojito, Cranberry Cooler, and Piña Colada)",Star Baker,2
10,Jo,Lavender Biscuits,8th,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,Safe,2
10,Mary-Anne,Melting Moments,2nd,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,Safe,2
10,Robert,Chocolate and Ginger Oat Biscuits,7th,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,Safe,2
10,Yasmin,Chocolate Chip and Pistachio Biscotti,6th,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,Safe,2
11,Holly,"Stilton, Potato and Caramelised Onion Pie",4th,Lime Meringue Pie,Safe,2
11,Janet,Chicken and Chestnut Pie,1st,Rhubarb Meringue Pie,Star Baker,2
11,Jason,Brown Down Chicken Pie,7th,Plum Meringue Pie,Eliminated,2
11,Jo,Salmon and Asparagus Pie,6th,Apple and Raspberry Meringue Pie,Safe,2
11,Mary-Anne,Chicken and Bacon Pie,2nd,Midnight Meringue Pie,Safe,2
11,Robert,Chicken and Mushroom Pie,3rd,Rhubarb & Custard Meringue Pie,Eliminated,2
11,Yasmin,Family Fish Pie,5th,Peach and Raspberry Meringue Pie,Safe,2
12,Holly,Father Christmas' Baked Cheesecake,3rd,Hansel and Gretel's Croquembouche,Safe,2
12,Janet,Rhubarb and Ginger Baked Cheesecake,5th,Orange and Nougatine Croquembouche,Safe,2
12,Jo,Rum and Raisin Baked Cheesecake,1st,Limoncello and White Chocolate Croquembouche,Star Baker,2
12,Mary-Anne,Tutti Frutti Curd Baked Cheesecake,4th,Orange and Praline Croquembouche with Cardamom Caramel,Safe,2
12,Yasmin,Baked Amaretto Cheesecake,2nd,Rose Croquembouche,Eliminated,2
13,Holly,"White Chocolate, Hazelnut and Raspberry Génoise Mousse Cake",1st,"Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",Safe,2
13,Janet,Chocolate Amaretto Mousse Cake,4th,Pain Aux RaisinPlain CroissantPain Au Chocolat,Eliminated,2
13,Jo,Raspberry & Strawberry Mousse Cake,3rd,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,Safe,2
13,Mary-Anne,Chocolate and Orange Mousse Cake,2nd,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,Safe,2
14,Holly,Banoffee Inspired Mille Feuille,2nd,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,Runner-up,2
14,Jo,Raspberry and Blueberry Mille Feuille,1st,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",Winner,2
14,Mary-Anne,Lemon and Ginger Mille Feuille,3rd,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,Runner-up,2
15,Brendan,"Plum, sour cherry & walnut upside down cake",10th,St. Patrick's Day cake with hidden Irish Flag*[12],Safe,3
15,Cathryn,"Apple, hazelnut and calvados upside down cake",5th,Hidden cupcake cake,Safe,3
15,Danny,"Plum, ginger & orange upside down cake",7th,Nectar cake with hidden beehive*[13],Safe,3
15,James,"Parsnip, pear, and pecan upside down cake",2nd,"""Simmer dim"" sunset cake",Safe,3
15,John,"Toffee apple, orange & cranberry upside down cake",11th,Hidden pink hearts cake,Safe,3
15,Manisha,"Vanilla, peach and raspberry upside down cake",6th,White chocolate cake with a red velvet and white chocolate mousse heart,Safe,3
15,Natasha,Pineapple & passion fruit upside down cake,12th,Mother's Day layered rose cake,Eliminated,3
15,Peter,"Pear, muscat & chocolate upside down cake",3rd,Jubilee cake,Safe,3
15,Ryan,Kumquat and orange polenta upside down cake,8th,Hidden flowerbed mousse cake,Safe,3
15,Sarah-Jane,"Pear, chocolate and hazelnut upside down cake",1st,Hidden crown cake,Safe,3
15,Stuart,Tomato and ginger upside down cake,9th,Lemon and pistachio Union Flag cake,Safe,3
15,Victoria,Pear and pecan upside down cake,4th,Blackbird pie cake,Star Baker,3
16,Brendan,Middle Eastern Taboon BreadIndian Roti,4th,Chocolate and Vanilla BagelsCumin and Gruyere Bagels,Safe,3
16,Cathryn,"Spiced Mango NaanLime, Coriander and Chilli Tortillas",8th,"Cranberry and Orange BagelsChipotle, Chilli, and Smoked Cheddar Bagels",Safe,3
16,Danny,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,3rd,UNKNOWN,Safe,3
16,James,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones",2nd,"Orange, Mint and Chocolate Bagels'Millers' Sourdough Bagels",Safe,3
16,John,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas",1st,"Fig, Walnut and Gruyere BagelsBlueberry and White Chocolate Bagels",Star Baker,3
16,Manisha,Indian FlatbreadsItalian Flatbreads,6th,Chocolate Orange Bagels,Safe,3
16,Peter,Fennel and Nigella seed NaanBannock Bread,11th,Rosemary and Sea Salt BagelsApple and Cinnamon Bagels,Eliminated,3
16,Ryan,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,5th,Cinnamon and Date BagelsTarragon and Rosemary Bagels,Safe,3
16,Sarah-Jane,Toasted Coconut and Lime RotiOatcakes,10th,UNKNOWN,Safe,3
16,Stuart,Bombay BreadChorizo and Spring Onion Naan,9th,Cinnamon and Cranberry BagelsTomato and Thyme Bagels,Safe,3
16,Victoria,Coriander and Lemon NaanGarlic and Parsnip Chapatis,7th,Saffron and Golden Raisin BagelsPorcini Bagels,Safe,3
17,Brendan,Apple and Ginger Tarte Tatin,9th,"Blackberry, Nectarine and Dragon Fruit Tart",Safe,3
17,Cathryn,"Plum, Cherry and Five Spice Tarte Tatin",3rd,"Raspberry, Pistachio and Lemon Tart",Safe,3
17,Danny,Savoury Pear and Roquefort Tarte Tatin,2nd,"Pineapple, Coconut and Frangipane Tart",Safe,3
17,James,Apple and Lavender Tarte Tatin,1st,"Rose, Lychee and Raspberry Fruit Tart",Star Baker,3
17,John,Apple and Vanilla Tarte Tatin with Walnut Praline,6th,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",Safe,3
17,Manisha,"Cinnamon, Apple and Pear Tarte Tatin",10th,Rum and Tropical Fruit Tart,Safe,3
17,Ryan,Spiced Pear Tarte Tatin,5th,UNKNOWN,Safe,3
17,Sarah-Jane,Caramelised Banana Tarte Tatin,8th,French Apple Tart with Blackberry and Cassis Jam,Safe,3
17,Stuart,Pear and Almond Tarte Tatin,7th,Raspberry Triple Chocolate Layered Tart,Safe,3
17,Victoria,"Fig, Walnut and Pink Peppercorn Tarte Tatin",4th,Tropical Fruit Tart with Black Pepper Crust,Eliminated,3
18,Brendan,Clementine and Chestnut Torte,1st,"Pear, Chocolate and Hazelnut Dacquoise",Star Baker,3
18,Cathryn,"White Chocolate, Macadamia and Coffee Torte",3rd,"Gooseberry, Almond and Honey Meringue",Safe,3
18,Danny,"Blackberry, White Chocolate, Lemon and Elderflower Torte",2nd,"'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",Safe,3
18,James,"Hazelnut, Chocolate and Passionfruit Torte",5th,"Fig, Chestnut, Cherry and Chocolate Layered Meringue",Safe,3
18,John,'Torte Noir' Black Forest Torte with Boozy Cream,6th,Elderflower and Bramble Berry Pavlova,Safe,3
18,Manisha,"Almond, Chocolate and Cherry Torte",9th,Tiramisu Layered Meringue Dessert,Safe,3
18,Ryan,Green Tea Opera Torte,7th,"Strawberry, Rose and Pistachio Meringue",Safe,3
18,Sarah-Jane,Chocolate and Almond Truffle Torte,4th,Hazelnut Tiramisu Layered Meringue,Safe,3
18,Stuart,Black Forest Torte,8th,Choca Blocka Mocha Meringue,Eliminated,3
19,Brendan,Salmon Coulibiac in a Scandinavian Pastry,3rd,All American Chiffon Pie,Safe,3
19,Cathryn,Full English Wellington,1st,Chocolate and Peanut Butter Pumpkin Pie,Safe,3
19,Danny,"Chickpea, Spinach & Mushroom Wellington",7th,Trick or Treat Pumpkin Pie,Safe,3
19,James,Four Pig Wellington,6th,Sweet Potato Pie,Safe,3
19,John,Venison and Haggis Wellington,2nd,Star Spangled Pecan Pie,Safe,3
19,Manisha,Lamb Wellington with Rosemary and Mint,5th,Banana Scotch Pie,Eliminated,3
19,Ryan,Curry Spiced Seabass Wellington,8th,Key Lime Pie,Star Baker,3
19,Sarah-Jane,Beef Wellington with Parma Ham and Gorgonzola Cheese,4th,Chocolate and Banana Cream Pie,Safe,3
20,Brendan,"Rhubarb, Strawberry and Ginger PuddingsSticky Toffee Puddings",1st,"Spinach, Cheese and Walnut Strudel",Star Baker,3
20,Cathryn,Chocolate Walnut Whip PuddingsElderflower Sponges,3rd,Roasted Vegetable Couscous and Sheep Cheese Strudel,Safe,3
20,Danny,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,2nd,"Leek, Potato, Pistachio and Gruyère Strudel",Safe,3
20,James,Banana and Clove PuddingsClootie dumplings,7th,"Strawberry, Rhubarb and Ginger Strudel",Safe,3
20,John,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,5th,Did not complete due to injury,Safe[a],3
20,Ryan,Chocolate FondantsSticky Ginger and Date Puddings,6th,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",Safe,3
20,Sarah-Jane,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,4th,Sweet Strudel with Sour Cherries,Safe,3
21,Brendan,Chelsea Bunskis,4th,Black Forest Christmas Stollen,Safe,3
21,Cathryn,Lady Arundel's Manchet Buns,5th,Bonfire Night Tear 'N' Share Brioche,Safe,3
21,Danny,Bakewell Chelsea Buns,2nd,European Christmas Wreath,Star Baker,3
21,James,Easter Chelsea Buns,1st,Whisky Kugelhopf-Brioche Baba,Safe,3
21,John,Cherry and Almond Saffron Buns,3rd,Marzipan Stollen,Safe,3
21,Ryan,Lardy Cakes,6th,Char Siu Bao,Eliminated,3
21,Sarah-Jane,"Orange, Nutmeg and Saffron Buns",7th,Sour Cherry and Dark Chocolate Christmas Plait,Eliminated,3
22,Brendan,Multi-Seed Savoury Crackers,2nd,Fantasy Gingerbread Bird House,Safe,3
22,Cathryn,Cheese and Pickle Crackers,5th,Gingerbread Buckingham Palace,Eliminated,3
22,Danny,Spiced Almond Drinks Crackers,4th,Gingerbread Big Ben,Safe,3
22,James,"Smoky Cayenne, Cumin and Chilli Crackers",1st,Gingerbread Barn,Star Baker,3
22,John,Asian Spice Crackers,3rd,Gingerbread Roman Coliseum,Safe,3
23,Brendan,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,3rd,Gateau St. Honoré,Safe,3
23,Danny,Blackberry and Peppermint MacaronsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,4th,Rosewater and Lychee Gateau St. Honoré,Eliminated,3
23,James,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macarons",1st,"Coffee, Caramel and Hazelnut Paris–Brest",Star Baker,3
23,John,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macarons,2nd,Gateau St. Honoré a la Passion,Safe,3
24,Brendan,Potato and Pepper Pithivier,2nd,Family Reunion Chiffon Cake,Runner-up,3
24,James,Spanish Pithivier with Chorizo and Red Pepper,1st,United Chiffon Cakes,Runner-up,3
24,John,Italian Sausage and Roasted Vegetable Pithivier,2nd,Heaven and Hell Chiffon Cake,Winner,3
25,Ali,Rose and Pistachio Cake,11th,"Chocolate, Raspberry and Passion Fruit Engagement Cake",Safe,4
25,Beca,Grapefruit Sandwich Cake,8th,Chocolate Cherry Indulgence,Safe,4
25,Christine,"Strawberry, Vanilla and Rosewater Summer Basket",3rd,Chocolate and Orange 'Fripperous' Hat Cake,Safe,4
25,Deborah,Pineapple Cake,9th,'Coffee Time',Safe,4
25,Frances,Giant Jam Sandwich,7th,Secret Squirrel Cake,Safe,4
25,Glenn,Strawberries and Cream Cake,4th,Almond and Espresso Chocolate Cake,Safe,4
25,Howard,Passion Fruit and Coconut Cake,6th,Black Forest Revisited,Safe,4
25,Kimberley,Blood Orange Cake,10th,"Chocolate, Raspberry & Basil Layer Cake",Safe,4
25,Lucy,Timperley Early Cake,2nd,Thyme 'Wildwood' Cake,Safe,4
25,Mark,Lemon and Poppy Seed Cake,5th,Chocolate Monster,Safe,4
25,Robert,Pecan and Apple Cake,1st,Raspberry Chocolate Cake,Star Baker,4
25,Ruby,Rhubarb and Custard Sandwich Cake,12th,Chocolate and Ginger Night Sky Cake,Safe,4
25,Toby,Spiced and Iced Carrot Cake,13th,Two Tiered Chocolate Cake,Eliminated,4
26,Ali,Italian Grissini,9th,Sweet and Savoury Yin Yang Bread,Safe,4
26,Beca,Fennel and Chilli Breadsticks,11th,Five Strand Christmas Wreath,Safe,4
26,Christine,Mediterranean Breadsticks with Oregano,4th,Double Plaited Loaf,Safe,4
26,Deborah,Fennel & Chilli Breadsticks,8th,Walnut Fleur Loaf,Safe,4
26,Frances,Giant Matchsticks,2nd,Sailor's Knot,Safe,4
26,Glenn,Rosemary and Parmesan Grissini,7th,Harvest Crown,Safe,4
26,Howard,Moroccan Breadsticks,10th,Picasso Sun Bread,Safe,4
26,Kimberley,Nigella Seed and Parmesan Breadsticks,1st,Peace Bread,Safe,4
26,Lucy,Grissini with Salt,12th,Roasted Tomato Bread,Eliminated,4
26,Mark,Rosemary & Raisin Breadsticks,6th,Sage & Garlic Plait,Safe,4
26,Robert,Twisty Rye Bread Sticks,5th,Tribute Loaf,Safe,4
26,Ruby,Mexican Breadsticks,3rd,White Chocolate and Orange Peacock Bread,Star Baker,4
27,Ali,"Coconut, Raspberry and Lemon Meringue Trifle",5th,Vanilla Latte Mini CakesLime & Mint Shortbread Pops,Safe,4
27,Beca,Orange and Ginger Trifle,10th,Limoncello and Blueberry BurstsMillionaires' Shortbread,Safe,4
27,Christine,Caribbean Pina Colada Trifle,4th,Ninety-NinersSachertorte Parcels,Star Baker,4
27,Deborah,Tropical TrifleA,9th,Canelé Cherry and Chocolate CakesRose Cookies,Eliminated,4
27,Frances,Apple and Blackberry Crumble Trifle,8th,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,Safe,4
27,Glenn,Raspberry and Almond Trifle,1st,Billionaire BouchéesOrange Financiers,Safe,4
27,Howard,Caramel and Apple TrifleA,7th,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,Safe,4
27,Kimberley,"Peach, Almond and Ginger Trifle",6th,Chocolate Pistachio FinanciersLemon Bergamot Biscuits,Safe,4
27,Mark,"Ginger, Mango and Passion Fruit Trifle",11th,Rose and Pistachio MacaronsChocolate and Raspberry Bites,Eliminated,4
27,Robert,Rhubarb and Orange Trifle,2nd,Almond FriandsTurón Macarons,Safe,4
27,Ruby,Desert Island Trifle,3rd,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,Safe,4
28,Ali,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,8th,"Orange, Cardamom and Date M'Hanncha",Eliminated,4
28,Beca,Mamgu's Cherry-Apple Tart,2nd,Moroccan Vegetable Filo Feast,Safe,4
28,Christine,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",7th,Roasted Vegetable Filo Pie with Feta Cheese,Safe,4
28,Frances,Peach Pie In the Sky,1st,Cherry Tree Baklava Filo Pie,Safe,4
28,Glenn,Apple & Maple Syrup Pie,9th,Spanakopita,Safe,4
28,Howard,Apple Pie with Sage Pastry,5th,Fresh Fig and Feta Filo Flan,Safe,4
28,Kimberley,Pecan and Rosemary Caramel Apple Pie,4th,"Chicken, Bacon and Butternut Squash Pie",Star Baker,4
28,Robert,Apple and Pear Pie with Thyme,3rd,Spanakopita with St George's Mushrooms,Safe,4
28,Ruby,Apple and Marzipan Pie,6th,"Rose, Almond and Raspberry Filo Pie",Safe,4
