episode_count,baker,signature,technical,showstopper,result,series
29,Beca,"Chocolate, Cherry and Hazelnut Brownies",5th,Tiered Macaron and Sugar Dough Biscuit Centrepiece,Safe,4
29,Christine,Mixed Berry and Almond Crumble Traybake,1st,Shortbread Bavarian Clock Tower,Star Baker,4
29,Frances,Millionaire Banoffee Bonus,3rd,Biscuit Buttons and Beads[a],Safe,4
29,Glenn,Apricot and Pistachio Tiffin,2nd,Shortbread and Macaron Helter-Skelter,Safe,4
29,Howard,Breakfast Traybake,8th,Japanese Pagoda Tea Tower,Safe,4
29,Kimberley,Cherry and Almond Bakewell Florentine Slice,7th,Black and White Viennese Biscuit Stack,Safe,4
29,Robert,Blueberry & Orange Traybake,4th,Orange and Lemon Biscuit Dalek,Eliminated,4
29,Ruby,Blackberry and Lemon Bakewell Slice,6th,'Dropped Ice Cream' Biscuit Centrepiece,Safe,4
30,Beca,Bara Brith,6th,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,Safe,4
30,Christine,Oxford Nutty Fruit Loaf,4th,Schnecken BunsVanilla Custard Skolebrød,Safe,4
30,Frances,Chai Tea Loaf,2nd,Hot Cross BriochesRhubarb and Custard Kolaches,Safe,4
30,Glenn,Devonshire Panettone,5th,Almond and Apricot BriochesSticky Caramel Kanelbullen,Safe,4
30,Howard,Date & Hemp Yorkshire Loaf,7th,Peachy BunsGerman Baumschnecken,Eliminated,4
30,Kimberley,Chai Spiced Ginger and Date Tea Loaf,3rd,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,Safe,4
30,Ruby,Citrus Tea Loaf,1st,Twisted Swedish KanelbullarSaffron St. Lucia Buns,Star Baker,4
31,Beca,Spring Lamb and Vegetable Suet Pudding with Redcurrant Gravy,1st,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,Safe,4
31,Christine,Spotted Dick 'With a Kick' and Vanilla Custard Ice Cream,6th,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,Safe,4
31,Frances,Figgy Roll-y Poly Pudding with Caramelised Walnut and Honey Ice-Cream,5th,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,Star Baker,4
31,Glenn,Prune and Armagnac Pudding with Boozy Butterscotch Sauce,3rd,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,Eliminated,4
31,Kimberley,Barberry and Apple Spotted Dick with Maple Syrup and White Chocolate Custard,4th,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûlee Custard TartsFig, Orange and Thyme Galette",Safe,4
31,Ruby,Plum Jam Roly Poly with Ginger Ice Cream,2nd,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,Safe,4
32,Beca,"Potato, Spelt and Rosemary Focaccia",4th,Spiced Butternut Squash and Pecan 'Cheese' Cake,Safe,4
32,Christine,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",5th,Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,Eliminated,4
32,Frances,'Chelsea Flour Show' Bun Bouquet,3rd,Hidden Carrot Cake,Safe,4
32,Kimberley,Wild Garlic Pesto and Parma Ham Spelt Loaf,2nd,Butternut Squash and Spice Cake Toadstool House,Safe,4
32,Ruby,Mango and Nigella Seed Spelt Cob,1st,Carrot Cake and Pistachio Garden Plot,Star Baker,4
33,Beca,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,3rd,Banoffee Opera Cake,Eliminated,4
33,Frances,"Légume CanapésChantenay Carrots, Choux Pastry Tomatoes, and Cauliflower Cheese Scones",2nd,Great British Soap Opera Cake,Safe,4
33,Kimberley,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,1st,Passion Fruit and Lime Opera Cake,Star Baker,4
33,Ruby,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions",4th,"Chocolate, Almond Praline and Saffron Opera Cake",Safe,4
34,Frances,Rainbow Picnic Pie,3rd,Midsummer Night's Dream Wedding Cake,Winner,4
34,Kimberley,Chicken and Pig Pie,1st,Languages of Love Wedding Cake,Runner-up,4
34,Ruby,Picnic Basket Pie,2nd,"Raspberry, Lemon and Passion Fruit Wedding Cake",Runner-up,4
35,Chetna,"Cardamom, Pistachio and Coffee Swiss Roll",3rd,Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,Safe,5
35,Claire,Chocolatey Orangey Swiss Roll,8th,Mini Chocolate and Cherry Cakes,Eliminated,5
35,Diana,Mum's Sunday Tea Lemon Curd Swiss Roll,5th,Chocolate Ganache Surprises,Safe,5
35,Enwezor,Raspberry and Lemon Swiss Roll,9th,Coffee and Walnut Battenberg Squares,Safe,5
35,Iain,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,4th,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing and Candied Lemon",Safe,5
35,Jordan,Kawaii Frasier Swiss Roll,12th,Lemon Drizzle Cakes with Blueberry and Lemon Curd,Safe,5
35,Kate,Red Velvet and White Chocolate Swiss Roll,6th,Mini Tiered Victoria Sponges,Safe,5
35,Luis,Spanish Swiss Roll,7th,Raspberry and Lemon Genoise Slices with Lemon Drizzles,Safe,5
35,Martha,Tiramisu Swiss Roll,2nd,Mini Lemon and Thyme Drizzle Cakes,Safe,5
35,Nancy,Coffee and Hazelnut Swiss Roll,1st,Jaffa Orange Cakes,Star Baker,5
35,Norman,Black Forest Swiss Roll,11th,Almond and Raspberry Mini Cakes,Safe,5
35,Richard,Pistachio and Strawberry Swiss Roll,10th,Miniature Coffee and Walnut Cakes,Safe,5
36,Chetna,Fenugreek and Carom Crackers,8th,Day On The Beach,Safe,5
36,Diana,Parmesan Triangles,7th,"Express, First Class",Safe,5
36,Enwezor,Pumpkin and Sunflower Seed Savoury Biscuits,9th,Space Adventure Moon Scene,Eliminated,5
36,Iain,Za'atar and Fig Biscuits,11th,Wild West Scene,Safe,5
36,Jordan,"Sourdough, Parmesan and Chilli Biscuits",6th,Monster Attack,Safe,5
36,Kate,Parmesan and Apple Biscuits,4th,Tea Time,Safe,5
36,Luis,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,3rd,George Versus The Dragon,Safe,5
36,Martha,Caramelised Onion and Goat's Cheese Sandwich Biscuits,5th,Ski Village Scene,Safe,5
36,Nancy,Fennel and Rye Thins,2nd,Hansel and Gretel Scene,Safe,5
36,Norman,Farthing Biscuits,10th,Zulu Boats at Dawn,Safe,5
36,Richard,Rosemary Seeded Crackers,1st,Pirates!,Star Baker,5
37,Chetna,Onion and Pine Nut Rolls,8th,Rolled and Filled Twin Loaf,Safe,5
37,Diana,Rustic Picnic Rolls,7th,Sharing Savoury Pinwheel,Safe,5
37,Iain,Cranberry and Walnut Rye Bread Rolls,9th,Moroccan Plaited with a Bessara Dip,Safe,5
37,Jordan,Rye and Spelt Bread Rolls,10th,Strawberry Raspberry Cheesecake Brioche,Eliminated,5
37,Kate,Orange and Cardamom Rye Bread Knots,1st,"Prosciutto, Olive & Coriander Bread",Safe,5
37,Luis,Opposites Attract Rolls,2nd,Roscón de Reyes,Star Baker,5
37,Martha,Date and Walnut Rye Rolls,3rd,Stuffed Sunflower Loaf,Safe,5
37,Nancy,Cider and Walnut Crusty Rolls,5th,'Full English' Stromboli,Safe,5
37,Norman,Rye Bread Rolls,4th,Chicken and Roasted Vegetable Picnic Loaf,Safe,5
37,Richard,Rye and Cranberry Rolls,6th,Pesto Pinwheel,Safe,5
38,Chetna,"Rhubarb, Strawberry and Orange Puddings",3rd,"Mango, Raspberry and Coconut Baked Alaska",Safe,5
38,Diana,Orange and Lemon Curd Pots,9th,Raspberry Ripple Alaska Swan,Safe,5
38,Iain,"Chocolate, Lime and Raspberry Fondants",6th,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",Eliminated,5
38,Kate,Chocolate and Salted Caramel Molten Puddings,7th,"Pistachio, Raspberry and Chocolate Baked Alaska",Safe,5
38,Luis,Pears in Puddings,2nd,Bakewell Alaska,Safe,5
38,Martha,Peanut Butter Chocolate Fondants,1st,Key Lime Baked Alaska,Safe,5
38,Nancy,Pistachio Puddings with Chocolate Sauce,4th,Summer Pudding Alaska,Safe,5
38,Norman,Mini Sticky Toffee Puddings,8th,Baked Alaska with Strawberry Surprise,Safe,5
38,Richard,Black Forest Chocolate Fondants,5th,Tiramisu Baked Alaska,Star Baker,5
39,Chetna,Rice Custard Tart with Mangoes and Raspberries,2nd,Fusion Tiered Pies,Safe,5
39,Diana,Withdrew[a],Withdrew[a],Withdrew[a],Withdrew[a],5
39,Kate,Rhubarb and Custard Tart,3rd,"Rhubarb, Prune and Apple Pies",Star Baker,5
39,Luis,Tropical Manchester Tart,6th,Four Fruity Seasons Tower,Safe,5
39,Martha,"Pistachio, Apricot and Honey Custard Tart",1st,Three Little Pigs Pie,Safe,5
39,Nancy,Chocolate Crusted Passion Fruit Tart,4th,Trio of Apple Pies,Safe,5
39,Norman,Tarte au Citron,5th,Pieful Tower,Eliminated,5
39,Richard,Fig and Orange Tart,7th,Three Course Autumn Pie Feast,Safe,5
40,Chetna,Orange Savarin with Cinnamon Cream,2nd,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,Star Baker,5
40,Kate,"Pecan, Chocolate and Sour Cherry Yeast Cake",6th,Trio of Dobos Tortes,Safe,5
40,Luis,Apple and Cinnamon Kugelhopf with Honeyed Apples,3rd,The Cage on the Rocky Hill,Safe,5
40,Martha,Dark Chocolate and Almond Liqueur Savarin,4th,Chess-Themed Chocolate and Salted Caramel Dobos Torte,Safe,5
40,Nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,1st,Chocolate and Caramel Dobos Torte,Safe,5
40,Richard,Fruity Guglhupf with an Orange Glaze,5th,Sugar Forest Dobos Torte,Safe,5
41,Chetna,Crispy Lentil Kachori,6th,Chocolate and Mango & Lemon Meringue Éclairs,Safe,5
41,Kate,Spinach and Paneer Spicy Samosa,4th,Neapolitan & Lemon Meringue Éclairs,Eliminated,5
41,Luis,Childhood Empanadas,5th,Stars and Stripes Éclairs,Safe,5
41,Martha,Mini Beef Wellingtons,3rd,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,Safe,5
41,Nancy,Spicy Duck Pasties,2nd,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,Safe,5
41,Richard,Minted Lamb Pasties,1st,Stair of Éclairs,Star Baker,5
42,Chetna,Date and Walnut Swirl Bread,1st,Chocolate Mousse Filled DoughnutsBraided Doughnuts,Safe,5
42,Luis,Black Forest Cherry Tree,2nd,Cocktail Doughnuts,Safe,5
42,Martha,Spiced Plum Iced Bread Swirl,5th,Glazed Lemon & Poppyseed DoughnutsChocolate & Passion Fruit Doughnuts,Eliminated,5
42,Nancy,Lincolnshire Plum Braid,3rd,Doughnut Family Tree,Safe,5
42,Richard,Fruit Swedish Tea Ring,4th,Rhubarb and CustardToffee Apple Doughnuts,Star Baker,5
43,Chetna,Chocolate Orange BaklavaMasala Chai Baklava,4th,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",Eliminated,5
43,Luis,Indian Rose BaklavaHalwa Baklava Rolls,1st,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponge",Safe,5
43,Nancy,Coffee and Chocolate BaklavaBreakfast Baklava,3rd,Raspberry NonnettesLime and Passion Fruit Entremets,Safe,5
43,Richard,Rose and Pistachio BaklavaWalnut and Almond Baklava,2nd,Hazelnut Mocha EntremetsPink Grapefruit Entremets,Star Baker,5
44,Luis,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",2nd,Village in Chocolate,Runner-up,5
44,Nancy,Apple and Lemon KitesRaspberry and Almond Croissants,1st,Red Windmill,Winner,5
44,Richard,Pear Pain au ChocolatPain Au Lait,3rd,Mill on the Hill,Runner-up,5
45,Alvin,Orange Vanilla and Fig Madeira Cake,2nd,Black Forest Gateau,Safe,6
45,Dorret,Madeira Cake with Candied Lemons,5th,Enchanted Forest Gateau,Safe,6
45,Flora,Blood Orange Madeira Cake,6th,Black Forest Gateau,Safe,6
45,Ian,Somewhere West of Madeira Cake,8th,Black Forest Cherry Tree,Safe,6
45,Marie,Zingy Citrus Madeira Cake,3rd,A Walk in the Black Forest,Star Baker,6
45,Mat,Gin and Tonic Madeira Cake,7th,Black Forest Gateau,Safe,6
45,Nadiya,Orange and Green Cardamom Madeira Cake,12th,Quadruple Chocolate Black Forest Gateau,Safe,6
45,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",10th,Black Forest Chocolate Creation,Safe,6
45,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,9th,Black Forest Gateau,Safe,6
45,Stu,Marley Madeira Cake,11th,Purple Forest Gateau,Eliminated,6
45,Tamal,Pistachio and Rose Madeira Cake,4th,Black Forest Gateau in a Chocolate Shell,Safe,6
45,Ugnė,Lemon and Thyme Madeira Cake,1st,Falling Cup Gateau,Safe,6
46,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",6th,Gingerbread Box filled with Brandy Snaps,Safe,6
46,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,1st,Box of Frogs,Safe,6
46,Flora,Wedding Biscotti,2nd,Honey and Earl Grey Tea Box,Safe,6
46,Ian,"Orange, Rosemary and Almond Biscotti",3rd,Sandwich de la Confiture,Star Baker,6
46,Marie,Biscotti Italiano,11th,Russian Box,Eliminated,6
46,Mat,"Pistachio, Cranberry and White Chocolate Biscotti",5th,Gingerbread Fire Engine,Safe,6
46,Nadiya,"Coconut, Fennel and Pistachio Biscotti",9th,Box of Fortunes,Safe,6
46,Paul,"Chocolate, Hazelnut and Fig Biscotti",10th,Memory Box,Safe,6
46,Sandy,Chocolate Chunk and Hazelnut Biscotti,4th,Sundried Tomato Cheese Biscuit Box,Safe,6
46,Tamal,"Cinnamon, Maple and Cranberry Biscotti",8th,Chessboard Box,Safe,6
46,Ugnė,White Wine Biscotti,7th,Baby Climbing into the Cookie Box,Safe,6
47,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",4th,Cornucopia,Safe,6
47,Dorret,Walnut and Stilton Soda Breads,6th,Unmade Bread,Eliminated,6
47,Flora,Fig and Hazelnut Rye Breads,2nd,Herb Couture,Safe,6
47,Ian,Wild Garlic Pesto Soda Breads,1st,Flour Power,Star Baker,6
47,Mat,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8th,Curry Inspired Brighton Pavilion,Safe,6
47,Nadiya,Mexican Bread with Warm Tomato Salsa,9th,Snake Charmer's Basket,Safe,6
47,Paul,Cranberry and Orange Sweet Soda Breads,10th,King of the Jungle[a],Safe,6
47,Sandy,Soda Breads with Smoked Bacon and Onion,7th,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,Safe,6
47,Tamal,"Fig, Cheese and Walnut Breads",3rd,Breadcycle,Safe,6
47,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,5th,Easter Basket,Safe,6
48,Alvin,Blackberry Crème Brûlées,9th,Tower of Fruits Cheesecakes,Safe,6
48,Flora,Rhubarb and Ginger Crème Brûlées,3rd,Elderflower and Granola Cheesecakes,Safe,6
48,Ian,Pomegranate Two Ways Crème Brûlées,4th,Trio of Spicy and Herby Baked Cheesecakes,Star Baker,6
48,Mat,Coconut Crème Brûlées,7th,Chocolate Bar Cheesecakes,Safe,6
48,Nadiya,Cinnamon Tea Crème Brûlées,8th,Fizzy Pop Cheesecakes,Safe,6
48,Paul,Almond Crème Brûlées,1st,Berry Cheesecake Tower,Safe,6
48,Sandy,Pontefract Crème Brûlées,6th,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",Eliminated,6
48,Tamal,Rhubarb and Ginger Crème Brûlées,5th,"Mango, Hazelnut and Rosemary Cheesecake Trio",Safe,6
48,Ugnė,Marula Fruit and Coffee Liqueur Crème Brûlées,2nd,"Lime, Coconut and Hazelnut Cheesecakes",Safe,6
49,Alvin,Pineapple Upside Down Cake,8th,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",Safe,6
49,Flora,"Pistachio, Apple and Cardamom Madeleine Cake",3rd,Chocolate and Pear Bûche,Safe,6
49,Ian,Honey and Flowers Cake,5th,Dessert Island,Safe,6
49,Mat,Sugar Free Carrot Cake,4th,Raspberry & Coconut Ice Cream Roll,Safe,6
49,Nadiya,Naked Blueberry and Caraway Crunch Cake,1st,Chocolate and Strawberry Lime Ice Cream Roll,Star Baker,6
49,Paul,Carrot & Pecan Cake,2nd,Dessert Island Getaway,Safe,6
49,Tamal,Honey and Grapefruit Polenta Cake,7th,Passion Fruit and Pineapple Ice Cream Roll,Safe,6
49,Ugnė,Chocolate and Hazelnut Sugar-Free Cake,6th,"Chocolate, Peanut Butter and Grape Jam Roll",Eliminated,6
50,Alvin,Plum Frangipane Tart,6th,Smoked Salmon En Croûte and Vermouth Chicken à la King vol-au-vents,Eliminated,6
50,Flora,Apricot and Rosemary Frangipane Tart,2nd,Asparagus and Parma Ham and Praline and Chocolate vol-au-vents,Safe,6
50,Ian,Pear and Raspberry Frangipane Tart,3rd,vol-au-vents Terre et Mer,Safe,6
50,Mat,Piña Colada Frangipane Tart,1st,His 'n' Hers vol-au-vents,Star Baker,6
50,Nadiya,"Bay Leaf, Rong Tea and Pear Tart",4th,Bengali Korma and Clementine with Cod vol-au-vents,Safe,6
50,Paul,Christmas Frangipane Tart,5th,Savoury and Sweet Bouchées,Safe,6
50,Tamal,Spiced Pear Frangipane Tart,7th,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,Safe,6
51,Flora,Game Pie with Shallot and Apple Chutney,4th,"Raspberry, Pomegranate and Champagne Charlotte Russe",Safe,6
51,Ian,Roadkill Pie,5th,Victoria's Crown Charlotte Russe,Safe,6
51,Mat,Raised Venison and Pigeon Pie,6th,Strawberry Charlotte Russe,Eliminated,6
51,Nadiya,Aromatic Raised Game Pie,1st,Mango and Raspberry Charlotte Russe,Safe,6
51,Paul,Not a Boaring Pie,2nd,Charlotte Rose,Safe,6
51,Tamal,Middle Eastern Game Pie,3rd,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",Star Baker,6
52,Flora,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,3rd,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,Safe,6
52,Ian,Mont Blanc & Black Forest Gâteau Horns,2nd,Nun with Hidden Passions,Safe,6
52,Nadiya,Rose Pistachio and Mocha Hazelnut Horns,1st,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,Star Baker,6
52,Paul,Café Tipple & Banana Crunch-away Horns,5th,Religieuse à l'ancienne,Eliminated,6
52,Tamal,Lime & Mascarpone and Malt Cream Horns,4th,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,Safe,6
53,Flora,Passion Fruit and Chocolate Tart,1st,Cocoa Carousel,Eliminated[a],6
53,Ian,Chocolate and Bay Tart,3rd,Chocolate Well,Safe,6
53,Nadiya,Peanut Salted Caramel and Chocolate Tart,4th,Peacock in Nan's Door,Star Baker,6
53,Tamal,Chocolate New York Pie,2nd,Chocolate Bell Tower,Safe,6
54,Ian,Elderflower and Lemon & Spiced Buns,2nd,Colossal Curvy Carrot Cake,Runner-up,6
54,Nadiya,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,1st,My Big Fat British Wedding Cake,Winner,6
54,Tamal,Cinnamon and Apple & Toffee and Marmalade Iced Buns,3rd,Sticky Toffee Pudding Cake,Runner-up,6
55,Andrew,Lemon and Rosemary Drizzle Cake,12th,'Ultimate Indulgence' Mirror Glaze Cake,Safe,7
55,Benjamina,"Pistachio, Cardamom and Lemon Drizzle Cake",6th,White Chocolate Mirror Glaze with Salted Praline Buttercream,Safe,7
55,Candice,Raspberry and Rhubarb Drizzle Custard Bundt Cake,5th,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",Safe,7
55,Jane,Lemon and Poppy Seed Drizzle Cake,7th,Chocolate Orange Mirror Cake,Star Baker,7
55,Kate,Berry Best Apple and Bramble Drizzle Cake,4th,One Swallow Does Not Make A Summer Cake,Safe,7
55,Lee,St. Clements Orange and Lemon Drizzle Cake,11th,Strawberry Surprise Mirror Cake,Eliminated,7
55,Louise,Orange Liqueur and Lemonade Drizzle Cake,9th,White Chocolate Trifle Mirror Glaze Cake,Safe,7
55,Michael,"Lime, Ginger and Honey Drizzle Cake",3rd,Matcha Tea Chocolate Mirror Glaze,Safe,7
55,Rav,Ginger Spice Yuzu Drizzle Cake,8th,Colombian Mocha Mirror Glaze Cake,Safe,7
55,Selasi,Citrus and Spice Drizzle Cake,1st,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",Safe,7
55,Tom,G&T Drizzle Cake,2nd,Black Forest Broken Mirror,Safe,7
55,Val,Mum's Orange and Lemon Drizzle,10th,Chocolate Sponge with Four Fruit Frosting,Safe,7
56,Andrew,Beehive Biscuits,4th,Punting in Cambridge,Safe,7
56,Benjamina,Bouquet Biscuits,3rd,"New York, New York",Safe,7
56,Candice,"Salted Caramel, Chocolate Iced Shiny Hearts",8th,Gingerbread Pub with Sticky Ginger Carpet,Star Baker,7
56,Jane,Flower Pot Iced Biscuits,2nd,Hastings Old Town Fishing Net Shops and Boat,Safe,7
56,Kate,"""A Biscuit for the Broads""",1st,"""I Promise I will do my best""",Safe,7
56,Louise,Baa Bara Brith Biscuits,10th,Gingerbread Wedding,Eliminated,7
56,Michael,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",9th,Trip to See Santa in Lapland,Safe,7
56,Rav,Union Jack Bunting Biscuits,6th,Gingerbread Christmas Fairground,Safe,7
56,Selasi,"""Wheelie Hot Iced Biscuits""",11th,Stained Glass Window Gingerbread Church,Safe,7
56,Tom,Chai Frappelatteccino Biscuits,7th,Tom and Pod's Near Death Experience,Safe,7
56,Val,Sunday Treat Iced Ice Cream Cone Biscuits,5th,From Holland to New York via Yorkshire,Safe,7
57,Andrew,Chocolate Barmbrack Bread,2nd,Braided Harvest Bread Basket,Safe,7
57,Benjamina,"Chocolate, Tahini and Almond Babka",6th,Braided Bread Heart,Safe,7
57,Candice,"Chocolate, Salted Caramel & Pecan Brittle Brioche Bread",3rd,Italian Light and Dark Rye Twist,Safe,7
57,Jane,Chocolate and Cranberry Couronne,9th,Chorizo and Chilli Flower with Parmesan and Pesto Centre,Safe,7
57,Kate,Cobbled Loaf,8th,The Corn Maiden,Safe,7
57,Michael,Chocolate and Chilli Swirl Plait,7th,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,Eliminated,7
57,Rav,"Chocolate, Cardamom and Hazelnut Loaf",10th,Three Tier Diwali Bread Centrepiece,Safe,7
57,Selasi,"Chocolate, Orange and Cinnamon Bread",5th,Bedouin Escape Tear and Share Bread,Safe,7
57,Tom,Chocolate Orange and Chilli Swirl Bread,4th,Jörmungandr and Mjölnir,Star Baker,7
57,Val,Double Chocolate Cinnamon Twist Loaf,1st,"""And They All Went Into The Ark To Get Out Of The Rain""",Safe,7
58,Andrew,Yorkshire 'Tapas' Puddings,4th,Churros Window Box,Safe,7
58,Benjamina,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",1st,Tropical Churros,Star Baker,7
58,Candice,Yorkshire Wellingtons,2nd,Two-Way Peanut Butter Churros,Safe,7
58,Jane,Meat and Two Veg Yorkshires,3rd,Pistachio and White Chocolate Churros,Safe,7
58,Kate,Christmas Dinner Compromise,7th,Hot Cross Bunny Churros,Eliminated,7
58,Rav,Thai Tofu Panang Yorkshires,9th,Three Dip Matcha Pistachio Churros,Safe,7
58,Selasi,Perfect Sunday Roast Accompaniment,8th,Lemon and Anise Churros,Safe,7
58,Tom,West Yorkshire Fusion Puddings,5th,Fennel Churros Snake In The Grass,Safe,7
58,Val,Mum's Chilli Yorkshire Puddings,6th,Orange Chocolate Churros,Safe,7
59,Andrew,Mum and Dad's Breakfast Pastries,6th,Spicy Chorizo Squash ParcelsBaklava Bites,Safe,7
59,Benjamina,'Good Morning America' SwirlsPeanut Butter and Banana Pinwheels,5th,Plantain and Spinach SamosasChai Pear Cups,Safe,7
59,Candice,"Danish Pastry Croque Monsieur KitesCinnamon Apple, Vanilla Crème Rose Danish",2nd,"Sausage, Black Pudding and Apple RoundsBanoffee Whiskey Cups",Star Baker,7
59,Jane,"Orange Pain au RaisinsRaspberry, Chocolate and Almond Danish",1st,"Roquefort, Fig and Walnut ParcelsCherry and Chocolate Cones",Safe,7
59,Rav,"Cinnamon SwirlsPecan, Walnut and Maple Plaits",8th,Chinese Style Prawn Filo TartletsSpiced White Chocolate and Hazelnut Samosas,Safe,7
59,Selasi,"Rhubarb, Mango and Ginger PlaitPineapple and Coconut Pinwheels",3rd,"Parma Ham, Asparagus and Cheese Filo CigarsCoffee Cream Filo Cups",Safe,7
59,Tom,Mega Breakfast Bonanzas (Granola Spirals and Wheat Foldovers),4th,Yin and Yang Amuse-bouche,Safe,7
59,Val,"Pecan and Maple Syrup PinwheelsApple, Sultana and Cinnamon Swirls",7th,"Caramelised Red Onion, Goats Cheese TartletsMincemeat and Apple Spiced Parcels",Eliminated,7
60,Andrew,Tangy Lime and Ginger Meringue Pie,6th,Spring Elderflower Trio,Safe,7
60,Benjamina,Grapefruit and Ginger Meringue Pie,2nd,Floral Tea Cake,Safe,7
60,Candice,"Lime, Coconut and Lemongrass Sugar Meringue Pie",5th,Four Seasons Cake,Safe,7
60,Jane,Lime and Coconut Meringue Pie,4th,Three Tier Orange Cake with a Floral Chocolate Collar,Safe,7
60,Rav,Mandarin Margarita Meringue Pie,3rd,Blossom Cake,Eliminated,7
60,Selasi,"Grapefruit, Orange and Mint Meringue Pie",7th,Three Tiered Ombré Floral Cake,Safe,7
60,Tom,Blood Orange Halloween Pumpkin Pie,1st,Floral Tea Cake,Star Baker,7
61,Andrew,Tropical Holiday Roulade,1st,Childhood Ice Cream Mousse Cakes,Star Baker,7
61,Benjamina,Piña Colada Roulade,3rd,Apple Crumble Mousse CakeChocolate Coffee Mousse Cake,Safe,7
61,Candice,Crowd Pleaser Roulade,2nd,Blackberry and Raspberry BubblesAfter Dinner Mousse,Safe,7
